Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Dua Lipa,Dua Lipa,/album/241922/Dua-Lipa-Dua-Lipa/,41,3.414634146,3.521898897,0.107,2.901677724,2.9 - 4.05,388,865,"theacademy (13.9%), Arcade (12.6%), jtswope (11.0%), Shamus248 (9.3%), cmaitland421 (7.0%)"
Violet Cold,Anomie,/album/244293/Violet-Cold-Anomie/,71,3.594366197,3.372764332,-0.222,2.897819275,2.9 - 3.8,389,558,"Hawks (7.4%), linguist2011 (6.9%), Storm+In+A+Teacup (6.4%), Gameofmetal (5.7%), kingdedethefifth (5.5%)"
Sorrow Plagues,Homecoming,/album/254298/Sorrow-Plagues-Homecoming/,22,3.75,3.735515006,-0.014,2.89706854,2.9 - 4.37,390,244,"Hawks (18.0%), Ignimbrite (10.5%), ComeToDaddy (9.5%), Evok (7.7%), Sevengill (7.1%)"
Wolf Alice,Visions of a Life,/album/260315/Wolf-Alice-Visions-of-a-Life/,70,3.542857143,3.370959284,-0.172,2.892508211,2.89 - 3.8,391,654,"SowingSeason (8.5%), Atari (7.3%), klap (7.1%), DoofusWainwright (5.8%), Divaman (5.4%)"
alt-J,Relaxer,/album/246729/alt-J-Relaxer/,255,3.216078431,3.145367324,-0.071,2.892100895,2.89 - 3.39,392,1068,"SowingSeason (2.9%), klap (2.5%), Rowan5215 (2.0%), DoofusWainwright (1.9%), Arcade (1.8%)"
Wiley,Godfather,/album/242264/Wiley-Godfather/,74,3.52972973,3.357208783,-0.173,2.891535681,2.89 - 3.78,393,677,"Trebor. (8.5%), DoofusWainwright (5.2%), Arcade (5.0%), Papa+Universe (4.7%), JohnnyOnTheSpot (4.5%)"
Your Old Droog,Packs,/album/242313/Your-Old-Droog-Packs/,36,3.444444444,3.550998393,0.107,2.889801639,2.89 - 4.1,394,822,"DoofusWainwright (11.3%), Calc (11.2%), RivalSkoomaDealer (6.6%), Anthracks (6.2%), larrytheslug (5.0%)"
Chaos Moon,Eschaton Memoire,/album/268584/Chaos-Moon-Eschaton-M%C3%A9moire/,21,3.619047619,3.745226467,0.126,2.887046014,2.89 - 4.39,395,507,"TheSpirit (19.2%), Hawks (16.2%), Wizard (11.8%), RivalSkoomaDealer (8.0%), Evok (7.1%)"
Endon,Through The Mirror,/album/247347/Endon-Through-The-Mirror/,37,3.689189189,3.539647929,-0.15,2.887019812,2.89 - 4.09,396,364,"Hawks (9.9%), discovolante (7.8%), linguist2011 (7.7%), Xenophanes (7.1%), Archelirion (6.6%)"
Vintersorg,Till Fjalls Del II,/album/254444/Vintersorg-Till-Fj%C3%A4lls-Del-II/,26,3.680769231,3.65831793,-0.022,2.884104888,2.88 - 4.27,397,385,"Willie (18.9%), linguist2011 (14.6%), Poet (9.3%), Snowdog808 (9.0%), BlackwaterPork (7.0%)"
Wage War,Deadweight,/album/258707/Wage-War-Deadweight/,112,3.379464286,3.262499436,-0.117,2.88213924,2.88 - 3.62,398,911,"linguist2011 (8.8%), Gameofmetal (7.3%), sspedding (4.3%), Ebola (3.8%), Dewinged (3.7%)"
Michelle Branch,Hopeless Romantic,/album/245165/Michelle-Branch-Hopeless-Romantic/,19,3.5,3.779703066,0.28,2.878376198,2.88 - 4.44,399,718,"BallsToTheWall (23.1%), Willie (14.8%), theacademy (11.7%), Irving (9.6%), jtswope (9.1%)"
Benighted,Necrobreed,/album/242686/Benighted-Necrobreed/,54,3.62037037,3.420772678,-0.2,2.877137618,2.88 - 3.9,400,502,"Storm+In+A+Teacup (8.5%), BigPleb (7.8%), kingdedethefifth (7.3%), Thor (7.2%), HenchmanOfSanta (6.0%)"
John Mayer,The Search for Everything - Wave One,/album/242819/John-Mayer-The-Search-for-Everything---Wave-One/,48,3.491666667,3.45126613,-0.04,2.875515918,2.88 - 3.95,401,755,"Storm+In+A+Teacup (12.3%), Irving (10.1%), Mort. (7.7%), gotsthedewsdood (5.6%), dub+sean (5.6%)"
Hour of Penance,Cast the First Stone,/album/233672/Hour-of-Penance-Cast-the-First-Stone/,35,3.628571429,3.545523581,-0.083,2.874434844,2.87 - 4.1,402,488,"Thor (13.1%), Madbutcher3 (12.1%), Xenorazr (12.1%), zaruyache (9.2%), TheNotrap (8.6%)"
Eidola,"To Speak, To Listen",/album/250895/Eidola-To-Speak-To-Listen/,61,3.590163934,3.386516732,-0.204,2.874094338,2.87 - 3.84,403,564,"TheSpirit (12.5%), Calc (8.7%), clavier (4.7%), Ebola (4.4%), beachdude (4.2%)"
Major Parkinson,Blackbox,/album/264124/Major-Parkinson-Blackbox/,18,3.888888889,3.795247667,-0.094,2.869422141,2.87 - 4.46,404,67,"menawati (29.0%), linguist2011 (26.4%), SirArthur6 (8.3%), BlazinBlitzer (7.9%), LeftyMcRighty (4.7%)"
Uneven Structure,La Partition,/album/250685/Uneven-Structure-La-Partition/,67,3.467164179,3.358787013,-0.108,2.869098948,2.87 - 3.8,405,790,"Willie (11.8%), linguist2011 (9.7%), Toondude10 (7.3%), Ignimbrite (6.3%), DarkSideOfLucca (5.8%)"
Nightbringer,Terra Damnata,/album/242882/Nightbringer-Terra-Damnata/,51,3.51372549,3.426437317,-0.087,2.867038262,2.87 - 3.92,406,701,"Willie (9.3%), Hawks (9.0%), pizzamachine (8.9%), linguist2011 (7.5%), Gameofmetal (6.6%)"
Celeste,Infidele(s),/album/255051/Celeste-Infideles/,39,3.58974359,3.503429466,-0.086,2.86619662,2.87 - 4.04,407,565,"Willie (15.1%), linguist2011 (12.7%), Ignimbrite (7.5%), Evok (5.8%), Sniff (5.3%)"
Beach Fossils,Somersault,/album/252662/Beach-Fossils-Somersault/,61,3.344262295,3.378783293,0.035,2.866044607,2.87 - 3.84,408,952,"klap (14.3%), SandwichBubble (5.4%), instantradical (5.3%), RadicalEd (5.3%), larrytheslug (4.8%)"
Daniel Cavanagh,Monochrome,/album/263970/Daniel-Cavanagh-Monochrome/,37,3.527027027,3.518542772,-0.008,2.864780966,2.86 - 4.07,409,682,"Willie (14.5%), Rowan5215 (11.4%), DoofusWainwright (10.7%), DarkNoctus (7.5%), Jethro42 (5.6%)"
Kesha,Rainbow,/album/256412/Kesha-Rainbow/,163,3.263190184,3.180805728,-0.082,2.864194478,2.86 - 3.48,410,1021,"BallsToTheWall (5.5%), SowingSeason (3.9%), Rowan5215 (2.7%), Gameofmetal (2.4%), Arcade (2.4%)"
Within the Ruins,Halfway Human,/album/237259/Within-the-Ruins-Halfway-Human/,90,3.474444444,3.287341135,-0.187,2.86328904,2.86 - 3.68,411,777,"Willie (7.7%), linguist2011 (6.4%), Spec (6.2%), Gameofmetal (5.4%), Snide (4.5%)"
Monolord,Rust,/album/256907/Monolord-Rust/,38,3.402631579,3.507767751,0.105,2.862272305,2.86 - 4.05,412,881,"Willie (15.5%), insomniac15 (13.1%), linguist2011 (11.9%), PsychicChris (8.4%), AdolfChrist (7.2%)"
Body Count,Bloodlust,/album/245266/Body-Count-Bloodlust/,94,3.49787234,3.274323708,-0.224,2.859087527,2.86 - 3.66,413,751,"SowingSeason (6.7%), DrGonzo1937 (5.0%), Storm+In+A+Teacup (4.7%), DoofusWainwright (4.3%), Scoot (4.2%)"
Gatecreeper,Sweltering Madness,/album/267963/Gatecreeper-Sweltering-Madness/,14,3.75,3.904428535,0.154,2.857625493,2.86 - 4.6,414,244,"Thor (25.8%), Papa+Universe (24.0%), aaronrkc (9.6%), accompliceofmydeath (9.5%), Stereochrome1 (8.4%)"
Nova Collective,The Further Side,/album/244997/Nova-Collective-The-Further-Side/,40,3.68,3.485679826,-0.194,2.8557182,2.86 - 4.02,415,386,"Willie (18.3%), Thor (11.8%), Papa+Universe (11.4%), Snowdog808 (5.9%), elephantREVOLUTION (4.4%)"
Heart Attack Man,The Manson Family,/album/245760/Heart-Attack-Man-The-Manson-Family/,15,3.833333333,3.866776461,0.033,2.854312258,2.85 - 4.56,416,119,"Papa+Universe (23.6%), AsleepInTheBack (13.1%), elephantREVOLUTION (10.1%), McTime50 (10.0%), whatshisname (8.5%)"
Egypt,Cracks and Lines,/album/254149/Egypt-Cracks-and-Lines/,20,3.585,3.733493778,0.148,2.852614384,2.85 - 4.39,417,576,"insomniac15 (27.0%), CaliggyJack (20.9%), Dewinged (12.1%), JWT155 (10.3%), Buccaneer (7.5%)"
Threshold,Legends of the Shires,/album/257126/Threshold-Legends-of-the-Shires/,41,3.804878049,3.474930957,-0.33,2.852306564,2.85 - 4.01,418,161,"Willie (15.0%), Toondude10 (9.4%), Ocean+of+Noise (7.3%), TheNotrap (6.5%), Evok (6.1%)"
Pretend,Circular Reasoning,/album/253237/Pretend-Circular-R%C3%A6soning/,26,3.826923077,3.625650193,-0.201,2.849417072,2.85 - 4.24,419,133,"DoofusWainwright (12.6%), Papa+Universe (11.3%), Conmaniac (11.3%), hogan900 (7.9%), Tyler. (7.2%)"
Zeta (UK),Zeta,/album/255298/Zeta-UK-Zeta/,18,3.805555556,3.775733721,-0.03,2.848558395,2.85 - 4.45,420,158,"JJKeys (14.8%), clavier (13.0%), cloakanddagger (10.8%), SatelliteYears (8.5%), Drummerboy123 (8.4%)"
King Gizzard and the Lizard Wizard,Sketches of Brunswick East (w/ Mild High Club),/album/258872/King-Gizzard-and-The-Lizard-Wizard-Sketches-of-Brunswick-East-w--Mild-High-Club/,137,3.368613139,3.193327223,-0.175,2.848001773,2.85 - 3.52,421,923,"Papa+Universe (5.1%), ianblxdsoe (3.6%), scissorlocked (3.5%), JJKeys (3.2%), SandwichBubble (2.9%)"
Duskmourn,Of Shadow and Flame,/album/255203/Duskmourn-Of-Shadow-and-Flame/,24,3.666666667,3.654481013,-0.012,2.847555242,2.85 - 4.28,422,407,"Hawks (28.4%), kingdedethefifth (21.0%), Dmax28 (8.7%), bgillesp (7.4%), Thibs (5.1%)"
Teen Daze,Themes For Dying Earth,/album/243951/Teen-Daze-Themes-For-Dying-Earth/,50,3.44,3.411693096,-0.028,2.845992057,2.85 - 3.91,423,827,"SowingSeason (10.2%), DoofusWainwright (6.7%), Papa+Universe (6.3%), Conmaniac (6.3%), tom79 (5.5%)"
Dreadnought,A Wake In Sacred Waves,/album/260491/Dreadnought-A-Wake-In-Sacred-Waves/,25,3.76,3.63676496,-0.123,2.845468169,2.85 - 4.26,424,230,"linguist2011 (24.5%), Papa+Universe (22.5%), hesperus (10.5%), bgillesp (9.4%), SoilPethSymmetry (6.6%)"
John Frum,A Stirring In The Noos,/album/246318/John-Frum-A-Stirring-In-The-Noos/,38,3.697368421,3.490771935,-0.207,2.844418474,2.84 - 4.04,425,347,"TheSpirit (14.8%), linguist2011 (12.0%), Wizard (9.6%), Thor (9.4%), Papa+Universe (9.1%)"
Greta Van Fleet,Black Smoke Rising,/album/258232/Greta-Van-Fleet-Black-Smoke-Rising/,24,3.479166667,3.650805649,0.172,2.843655928,2.84 - 4.28,426,770,"BigHans (30.1%), beachdude (11.9%), erizen826 (10.1%), onionbubs (9.5%), Mutantsnowstorm (6.9%)"
Aimee Mann,Mental Illness,/album/248397/Aimee-Mann-Mental-Illness/,39,3.505128205,3.481450334,-0.024,2.843118908,2.84 - 4.02,427,715,"SowingSeason (10.5%), Atari (8.7%), DoofusWainwright (7.1%), Papa+Universe (6.6%), Divaman (6.6%)"
Father John Misty,Pure Comedy,/album/243234/Father-John-Misty-Pure-Comedy/,318,3.371383648,3.070666318,-0.301,2.842866356,2.84 - 3.29,428,919,"SowingSeason (2.7%), klap (2.3%), insomniac15 (2.1%), Frippertronics (2.0%), DoofusWainwright (1.8%)"
Enter Shikari,The Spark,/album/258592/Enter-Shikari-The-Spark/,137,3.276642336,3.186970604,-0.09,2.84148958,2.84 - 3.51,429,1011,"Willie (5.7%), Storm+In+A+Teacup (4.5%), Rowan5215 (4.4%), DoofusWainwright (4.1%), Papa+Universe (3.8%)"
Kevin Morby,City Music,/album/247940/Kevin-Morby-City-Music/,35,3.408571429,3.51400235,0.105,2.84124077,2.84 - 4.08,430,871,"SowingSeason (12.0%), klap (10.1%), Atari (9.8%), DoofusWainwright (7.9%), Papa+Universe (7.3%)"
Shade Empire,Poetry of the Ill-Minded,/album/252668/Shade-Empire-Poetry-of-the-Ill-Minded/,43,3.506976744,3.448963072,-0.058,2.84000703,2.84 - 3.97,431,711,"Willie (12.6%), linguist2011 (9.9%), Papa+Universe (9.3%), kingdedethefifth (9.0%), XfingTheSullen (6.4%)"
Thrice,Sea Change,/album/251024/Thrice-Sea-Change/,17,3.647058824,3.79277177,0.146,2.838977181,2.84 - 4.47,432,453,"cman23kid (43.9%), jmh886 (18.7%), Rashandarei (9.4%), Beauers (7.4%), AdoreSwancore (5.5%)"
Oh Sees,Orc,/album/254819/Oh-Sees-Orc/,54,3.537037037,3.382865988,-0.154,2.837620775,2.84 - 3.87,433,664,"greg84 (10.7%), Papa+Universe (8.3%), jtswope (8.0%), JJKeys (5.2%), Anthracks (5.2%)"
Mechina,As Embers Turn To Dust,/album/241365/Mechina-As-Embers-Turn-To-Dust/,39,3.51025641,3.475212578,-0.035,2.836579556,2.84 - 4.02,434,707,"Willie (18.8%), Metalstyles (13.5%), Sniff (7.9%), Snowdog808 (7.5%), Dewinged (7.1%)"
The Black Angels,Death Song,/album/249533/The-Black-Angels-Death-Song/,41,3.617073171,3.459367501,-0.158,2.836002085,2.84 - 3.99,435,512,"SowingSeason (16.5%), insomniac15 (12.3%), DoofusWainwright (10.7%), Papa+Universe (9.9%), TheSpaceMan (6.7%)"
Dalek,Endangered Philosophies,/album/255050/Dalek-Endangered-Philosophies/,39,3.456410256,3.473649321,0.017,2.834941417,2.83 - 4.02,436,809,"Willie (10.7%), DoofusWainwright (7.6%), kingdedethefifth (7.0%), Lord%28e%29Po%29%29%29ts (6.7%), jtswope (6.5%)"
Elbow,Little Fictions,/album/238994/Elbow-Little-Fictions/,45,3.433333333,3.42808614,-0.005,2.832079689,2.83 - 3.95,437,833,"greg84 (10.4%), DoofusWainwright (9.0%), Papa+Universe (8.2%), jtswope (7.6%), Mort. (6.1%)"
Young Lions,Mr. Spaceman,/album/254257/Young-Lions-Mr.-Spaceman/,28,3.714285714,3.578331013,-0.136,2.828258418,2.83 - 4.18,438,315,"Conmaniac (14.5%), Ebola (8.1%), MarsKid (8.0%), anatelier (7.6%), mallen- (7.5%)"
Enterprise Earth,Embodiment,/album/249401/Enterprise-Earth-Embodiment/,34,3.661764706,3.509976295,-0.152,2.827022678,2.83 - 4.08,439,429,"Willie (22.8%), Sinternet (10.4%), Ebola (8.2%), betray (7.8%), brettgoespunk (7.5%)"
Our Last Night,Selective Hearing,/album/254873/Our-Last-Night-Selective-Hearing/,36,3.588888889,3.49032675,-0.099,2.825953164,2.83 - 4.05,440,567,"Gameofmetal (20.3%), PistolPete (13.3%), beachdude (9.4%), elephantREVOLUTION (8.3%), logicisirrelevant (4.6%)"
Sinjin Hawke,First Opus,/album/254446/Sinjin-Hawke-First-Opus/,35,3.528571429,3.496321272,-0.032,2.822674393,2.82 - 4.06,441,680,"jtswope (12.4%), Bloon (9.7%), Chortles (8.1%), RadicalEd (7.0%), FullOfSounds (5.9%)"
Get The Shot,Infinite Punishment,/album/257775/Get-The-Shot-Infinite-Punishment/,25,3.74,3.613642002,-0.126,2.820997314,2.82 - 4.24,442,269,"East+Hastings (24.4%), JS19 (11.8%), HeavyMetalSnail (10.3%), Mattallica (10.0%), grindcorecore (7.0%)"
Code Orange,Forever,/album/235060/Code-Orange-Forever/,358,3.365921788,3.035980495,-0.33,2.820889175,2.82 - 3.25,443,930,"BallsToTheWall (3.1%), Trebor. (2.4%), linguist2011 (1.8%), DrGonzo1937 (1.8%), Hep+Kat (1.7%)"
Blaze of Perdition,Conscious Darkness,/album/267138/Blaze-of-Perdition-Conscious-Darkness/,20,3.78,3.702821054,-0.077,2.81998994,2.82 - 4.37,444,200,"Willie (17.6%), linguist2011 (13.8%), Papa+Universe (13.1%), DarkNoctus (9.6%), Anthracks (8.5%)"
Frank Carter and the Rattlesnakes,Modern Ruin,/album/242620/Frank-Carter-and-the-Rattlesnakes-Modern-Ruin/,103,3.480582524,3.216955365,-0.264,2.818824474,2.82 - 3.59,445,768,"DrGonzo1937 (5.3%), DoofusWainwright (4.6%), butcherboy (4.4%), Chamberbelain (4.0%), jtswope (3.9%)"
Japanese Breakfast,Soft Sounds From Another Planet,/album/256970/Japanese-Breakfast-Soft-Sounds-From-Another-Planet/,83,3.560240964,3.261294666,-0.299,2.818691452,2.82 - 3.67,446,625,"klap (6.8%), Hep+Kat (6.1%), jtswope (4.4%), tom79 (4.3%), JohnnyOnTheSpot (4.3%)"
The Spirit Of The Beehive,Pleasure Suck,/album/247903/The-Spirit-Of-The-Beehive-Pleasure-Suck/,28,3.607142857,3.568185489,-0.039,2.817562054,2.82 - 4.18,447,531,"DoofusWainwright (10.1%), butcherboy (9.9%), Conmaniac (9.3%), JohnnyOnTheSpot (8.4%), Sinternet (6.8%)"
Incantation,Profane Nexus,/album/254445/Incantation-Profane-Nexus/,59,3.36440678,3.33942841,-0.025,2.816426995,2.82 - 3.81,448,931,"TheSpirit (7.0%), Willie (6.5%), Hawks (5.9%), DrGonzo1937 (5.4%), linguist2011 (5.3%)"
Bent Knee,Land Animal,/album/251053/Bent-Knee-Land-Animal/,35,3.742857143,3.49001119,-0.253,2.816057507,2.82 - 4.06,449,263,"Willie (17.4%), JJKeys (7.1%), Snowdog808 (6.0%), Dewinged (6.0%), Mythodea (5.8%)"
Yaeji,EP2,/album/267004/Yaeji-EP2/,32,3.53125,3.518890499,-0.012,2.815038634,2.82 - 4.1,450,671,"Frippertronics (13.6%), JamieTwort (10.3%), wtferrothorn (8.6%), Relinquished (5.7%), Lucid (5.3%)"
AFI,AFI (The Blood Album),/album/234770/AFI-AFI-The-Blood-Album/,200,3.13,3.100341096,-0.03,2.813181045,2.81 - 3.38,451,1130,"Trebor. (4.0%), SowingSeason (3.8%), Willie (3.4%), Hep+Kat (2.8%), DrGonzo1937 (2.8%)"
Injury Reserve,Drive It Like It's Stolen!,/album/261160/Injury-Reserve-Drive-It-Like-Its-Stolen%21/,63,3.388888889,3.318680695,-0.07,2.811992464,2.81 - 3.77,453,895,"Trebor. (9.8%), Hep+Kat (6.9%), Calc (6.0%), Lord%28e%29Po%29%29%29ts (5.2%), jtswope (5.2%)"
Royal Thunder,WICK,/album/247844/Royal-Thunder-WICK/,63,3.306349206,3.3153532,0.009,2.808548611,2.81 - 3.77,454,987,"Willie (7.8%), BigHans (7.1%), greg84 (6.7%), Metalstyles (5.5%), Papa+Universe (5.4%)"
Can't Swim,Fail You Again,/album/246372/Cant-Swim-Fail-You-Again/,65,3.492307692,3.307434939,-0.185,2.80829258,2.81 - 3.76,455,754,"Trebor. (12.1%), SowingSeason (11.5%), Calc (7.3%), Conmaniac (6.7%), jtswope (6.3%)"
Midnight,Sweet Death and Ecstasy,/album/264968/Midnight-Sweet-Death-and-Ecstasy/,18,3.555555556,3.735850551,0.18,2.806112779,2.81 - 4.42,456,631,"BallsToTheWall (25.6%), Willie (14.9%), linguist2011 (11.6%), south_of_heaven+11 (10.5%), Inveigh (9.2%)"
Iiah,Distances,/album/256301/Iiah-Distances/,16,4,3.790295563,-0.21,2.806055143,2.81 - 4.49,457,12,"Dewinged (43.4%), eloimayano (29.4%), zmol (6.8%), Tasty (6.4%), Chongy (5.6%)"
IDYLLS,The Barn,/album/262066/IDYLLS-The-Barn/,27,3.518518519,3.570173421,0.052,2.805647396,2.81 - 4.19,458,694,"linguist2011 (11.2%), Papa+Universe (8.9%), Archelirion (8.7%), verdant (6.9%), zaruyache (6.0%)"
Hidden Orchestra,Dawn Chorus,/album/255202/Hidden-Orchestra-Dawn-Chorus/,16,3.6875,3.789790664,0.102,2.805518651,2.81 - 4.49,459,369,"Calc (20.8%), Lord%28e%29Po%29%29%29ts (16.3%), Sniff (10.4%), hesperus (9.7%), Ecnalzen (9.4%)"
Lo-Pan,In Tensions,/album/238256/Lo-Pan-In-Tensions/,25,3.4,3.598780051,0.199,2.805309009,2.81 - 4.23,460,882,"Nagrarok (14.3%), greg84 (14.0%), insomniac15 (13.4%), menawati (12.9%), Underflow (6.7%)"
Samael,Hegemony,/album/255589/Samael-Hegemony/,21,3.523809524,3.667428902,0.144,2.804270419,2.8 - 4.33,461,686,"Willie (25.1%), DatsNotDaMetulz (11.0%), hesperus (8.5%), JWT155 (8.5%), Hellscythe (7.0%)"
Swarms,Black Chapel Sun,/album/269868/Swarms-Black-Chapel-Sun/,15,3.766666667,3.819444225,0.053,2.803803617,2.8 - 4.52,462,223,"DoofusWainwright (13.0%), Comatorium. (10.1%), Fugue (10.1%), ComeToDaddy (9.2%), Chortles (7.1%)"
Machine Girl,...BECAUSE I'M YOUNG ARROGANT AND HATE EVERYTHING,/album/264174/Machine-Girl-...BECAUSE-IM-YOUNG-ARROGANT-AND-HATE-EVERYTHING/,16,3.625,3.788063804,0.163,2.803684064,2.8 - 4.49,463,492,"sportsboy (13.0%), Toad (11.4%), BlushfulHippocrene (11.0%), SGGreenman (9.9%), LethalPaintball (9.8%)"
Taake,Kong Vinter,/album/263619/Taake-Kong-Vinter/,38,3.386842105,3.451533061,0.065,2.803327287,2.8 - 4,464,898,"Crysis (10.6%), Hawks (10.3%), Atari (10.0%), CaptainDooRight (8.9%), linguist2011 (8.8%)"
Peter Silberman,Impermanence,/album/245833/Peter-Silberman-Impermanence/,43,3.460465116,3.413671967,-0.047,2.80315924,2.8 - 3.94,465,804,"SowingSeason (10.1%), Storm+In+A+Teacup (7.2%), Rowan5215 (7.0%), DoofusWainwright (6.7%), Wildcatforever (4.5%)"
Temple of Void,Lords Of Death,/album/258327/Temple-of-Void-Lords-Of-Death/,27,3.703703704,3.566790906,-0.137,2.802086674,2.8 - 4.18,466,338,"Willie (12.3%), Hawks (11.8%), linguist2011 (9.9%), Xenophanes (9.0%), Flugmorph (5.6%)"
Foxygen,Hang,/album/235197/Foxygen-Hang/,101,3.405940594,3.20148732,-0.204,2.798989037,2.8 - 3.58,467,876,"SowingSeason (6.3%), Frippertronics (4.8%), DoofusWainwright (4.2%), Metalstyles (4.0%), Papa+Universe (3.9%)"
Stolas,Stolas,/album/247284/Stolas-Stolas/,62,3.572580645,3.308919417,-0.264,2.797782878,2.8 - 3.77,468,598,"TheSpirit (11.8%), Calc (8.1%), Papa+Universe (7.3%), SoccerRiot (6.0%), Mort. (5.6%)"
Telepathy,Tempest,/album/248362/Telepathy-Tempest/,11,4,3.978840407,-0.021,2.796912487,2.8 - 4.71,469,12,"insomniac15 (36.3%), Artuma (25.1%), Sniff (18.2%), JasonCarne (14.6%), br4dl3yb34r (2.0%)"
Pagan Altar,The Room of Shadows,/album/257685/Pagan-Altar-The-Room-of-Shadows/,26,3.865384615,3.575556505,-0.29,2.796517052,2.8 - 4.2,470,94,"Hawks (17.9%), Willie (15.9%), linguist2011 (12.3%), manosg (10.4%), PsychicChris (8.6%)"
Black Anvil,As Was,/album/238523/Black-Anvil-As-Was/,35,3.514285714,3.470483507,-0.044,2.795610619,2.8 - 4.04,471,698,"Hawks (12.4%), linguist2011 (10.6%), Papa+Universe (8.6%), Xenorazr (8.1%), HenchmanOfSanta (7.2%)"
Avatarium,Hurricanes And Halos,/album/245817/Avatarium-Hurricanes-And-Halos/,24,3.616666667,3.603591365,-0.013,2.793738598,2.79 - 4.24,472,513,"Willie (18.4%), manosg (12.1%), rockandmetaljunkie (11.1%), PsychicChris (9.9%), PsychicChris (9.9%)"
Talaboman,The Night Land,/album/245098/Talaboman-The-Night-Land/,30,3.483333333,3.519868665,0.037,2.792647208,2.79 - 4.12,473,761,"jtswope (10.0%), JamieTwort (8.8%), Ryus (7.3%), Sinternet (5.8%), Chortles (5.4%)"
Red Velvet,Rookie,/album/243626/Red-Velvet-Rookie/,14,3.75,3.843103898,0.093,2.792189966,2.79 - 4.56,474,244,"Beauville88 (35.7%), Sinternet (31.0%), PastaDownbeat (7.4%), Brandon (7.2%), alexrupert (6.0%)"
Outrun The Sunlight,Red Bird,/album/250429/Outrun-The-Sunlight-Red-Bird/,18,3.861111111,3.722478949,-0.139,2.791940207,2.79 - 4.41,475,95,"Willie (39.8%), MarsKid (16.8%), eloimayano (11.0%), McMegaMountain (8.9%), Brootalisk (3.6%)"
Loyle Carner,Yesterday's Gone,/album/243030/Loyle-Carner-Yesterdays-Gone/,32,3.5625,3.496036586,-0.066,2.791069984,2.79 - 4.08,476,615,"DoofusWainwright (9.4%), Papa+Universe (8.4%), Archelirion (8.3%), jtswope (8.0%), Sinternet (6.1%)"
N.E.R.D.,NO ONE EVER REALLY DIES,/album/269158/N.E.R.D.-NO-ONE-EVER-REALLY-DIES/,51,3.339215686,3.353402252,0.014,2.791005183,2.79 - 3.85,477,959,"Storm+In+A+Teacup (9.0%), Arcade (7.8%), jtswope (6.9%), Ryus (6.5%), wtferrothorn (6.4%)"
Girlpool,Powerplant,/album/246742/Girlpool-Powerplant/,48,3.322916667,3.369545927,0.047,2.790299928,2.79 - 3.88,478,974,"DoofusWainwright (7.7%), butcherboy (7.5%), jtswope (6.4%), tom79 (6.3%), verdant (5.4%)"
"Captain, We're Sinking",The King of No Man,/album/252503/Captain-Were-Sinking-The-King-of-No-Man/,146,3.300684932,3.124974333,-0.176,2.789032827,2.79 - 3.44,479,990,"Trebor. (4.3%), Willie (3.7%), Atari (3.3%), Rowan5215 (2.8%), Mongi123 (2.5%)"
Pond (AUS),The Weather,/album/243333/Pond-AUS-The-Weather/,60,3.483333333,3.307821789,-0.176,2.788124766,2.79 - 3.78,480,761,"Willie (9.0%), DrGonzo1937 (7.7%), DoofusWainwright (6.8%), JamieTwort (6.5%), Conmaniac (6.4%)"
Alestorm,No Grave But the Sea,/album/246909/Alestorm-No-Grave-But-the-Sea/,56,3.325,3.323956332,-0.001,2.786430806,2.79 - 3.8,481,969,"pizzamachine (10.5%), SCREAM%21 (8.8%), south_of_heaven+11 (7.8%), ScuroFantasma (7.2%), manosg (7.2%)"
Wiegedood,De Doden Hebben Het Goed II,/album/244509/Wiegedood-De-Doden-Hebben-Het-Goed-II/,37,3.5,3.443707792,-0.056,2.786352112,2.79 - 4,482,718,"Willie (11.8%), Hawks (10.9%), linguist2011 (9.7%), Storm+In+A+Teacup (9.3%), Gameofmetal (8.2%)"
Ungfell,Totbringaere,/album/245767/Ungfell-T%C3%B4tbring%C3%A6re/,28,3.625,3.536277831,-0.089,2.784011497,2.78 - 4.15,483,492,"Hawks (13.9%), Storm+In+A+Teacup (12.0%), Gameofmetal (10.7%), Archelirion (10.0%), Anthracks (6.5%)"
William Basinski,A Shadow in Time,/album/242830/William-Basinski-A-Shadow-in-Time/,60,3.391666667,3.303791723,-0.088,2.78395853,2.78 - 3.77,484,894,"insomniac15 (6.7%), robertsona (6.4%), DoofusWainwright (5.7%), YakNips (5.0%), Gyromania (5.0%)"
Bones,Unrendered,/album/250783/Bones-Unrendered/,36,3.513888889,3.449242452,-0.065,2.782967478,2.78 - 4.02,485,699,"breakingthefragile (12.9%), Scoot (12.5%), ComeToDaddy (9.2%), ianblxdsoe (8.3%), deathofasalesman (5.1%)"
